ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
458989.0,0.0,1.0,0.24242424242424243,1.0,0.25,0.0,1.0,0.0,0.8333333333333333,1.0
458994.0,1.0,1.0,0.25757575757575757,1.0,0.625,0.5714285714285714,0.0,0.375,0.8333333333333333,1.0
458996.0,0.0,1.0,0.696969696969697,0.0,0.125,0.0,1.0,0.0,0.8333333333333333,1.0
459000.0,1.0,1.0,0.5606060606060607,0.0,0.5,0.7857142857142857,0.5,0.125,0.8333333333333333,1.0
459001.0,0.0,0.0,0.015151515151515152,0.0,1.0,0.14285714285714285,1.0,0.375,0.8333333333333333,1.0
459003.0,1.0,1.0,0.3939393939393939,1.0,0.125,0.0,0.5,0.5,0.5,1.0
459005.0,1.0,1.0,0.5909090909090909,1.0,0.125,0.3571428571428571,1.0,0.25,0.8333333333333333,1.0
459008.0,0.0,1.0,0.3939393939393939,1.0,0.0,0.07142857142857142,0.0,0.25,0.8333333333333333,1.0
459013.0,1.0,1.0,0.4393939393939394,1.0,0.0,0.14285714285714285,0.0,0.375,0.8333333333333333,1.0
459014.0,1.0,0.0,0.015151515151515152,0.0,0.625,0.0,1.0,0.375,0.8333333333333333,1.0
459015.0,1.0,0.0,0.06060606060606061,0.0,0.625,0.0,1.0,0.25,0.8333333333333333,1.0
459016.0,0.0,0.0,0.06060606060606061,0.0,0.625,0.0,1.0,0.625,0.8333333333333333,1.0
459024.0,1.0,1.0,0.4393939393939394,1.0,0.0,0.07142857142857142,0.0,0.5,0.8333333333333333,1.0
459026.0,1.0,0.0,0.12121212121212122,0.0,0.625,0.5714285714285714,1.0,0.25,0.3333333333333333,1.0
459032.0,1.0,0.0,0.0,0.0,0.125,0.0,1.0,0.25,0.8333333333333333,1.0
459033.0,0.0,1.0,0.5909090909090909,1.0,0.0,0.0,1.0,0.0,0.8333333333333333,1.0
459036.0,0.0,1.0,0.030303030303030304,1.0,0.875,0.07142857142857142,0.0,0.25,0.3333333333333333,1.0
459039.0,1.0,1.0,0.36363636363636365,1.0,0.0,0.07142857142857142,0.0,0.125,0.8333333333333333,1.0
459041.0,1.0,1.0,0.5,1.0,0.0,0.5714285714285714,1.0,0.0,0.8333333333333333,1.0
459045.0,0.0,1.0,0.9848484848484849,1.0,0.875,0.07142857142857142,0.0,0.375,0.8333333333333333,1.0
459056.0,1.0,1.0,0.6212121212121212,0.0,0.5,0.11428571428571428,0.5,0.25,0.8333333333333333,1.0
459057.0,1.0,1.0,0.696969696969697,0.0,0.875,0.05714285714285714,0.5,0.125,0.8333333333333333,1.0
459058.0,1.0,0.0,0.33333333333333337,1.0,0.0,0.0,1.0,0.375,0.3333333333333333,1.0
459059.0,1.0,1.0,0.8484848484848485,0.0,0.5,0.02857142857142857,0.5,0.125,0.8333333333333333,1.0
459061.0,0.0,1.0,0.2272727272727273,1.0,0.625,0.6428571428571428,0.5,0.25,0.8333333333333333,1.0
459064.0,1.0,1.0,0.12121212121212122,0.0,0.5,0.3571428571428571,0.5,0.375,0.8333333333333333,1.0
459065.0,1.0,1.0,0.4696969696969697,1.0,0.25,0.22857142857142856,1.0,0.125,0.8333333333333333,1.0
459074.0,0.0,0.0,0.15151515151515152,1.0,0.625,0.0,1.0,0.375,0.5,1.0
459077.0,0.0,1.0,0.8484848484848485,0.0,0.875,0.07142857142857142,0.5,0.125,0.8333333333333333,1.0
459079.0,1.0,1.0,0.9696969696969697,1.0,0.875,0.07142857142857142,0.5,0.125,0.8333333333333333,1.0
459080.0,1.0,1.0,1.0,0.0,0.875,0.07142857142857142,1.0,0.125,0.8333333333333333,1.0
459083.0,1.0,1.0,0.6212121212121212,1.0,0.0,0.6428571428571428,0.0,0.25,0.7333333333333334,1.0
459090.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.07142857142857142,1.0,0.125,0.8333333333333333,1.0
459091.0,1.0,1.0,0.7424242424242424,1.0,0.0,0.07142857142857142,0.0,0.625,0.0,1.0
459093.0,0.0,1.0,0.3181818181818182,1.0,0.125,0.6428571428571428,0.0,0.125,0.6,1.0
459100.0,0.0,0.0,0.5909090909090909,1.0,0.0,0.7857142857142857,1.0,0.0,0.8333333333333333,1.0
459106.0,1.0,1.0,0.6060606060606061,1.0,0.0,0.0,1.0,0.125,0.8333333333333333,1.0
459114.0,1.0,1.0,0.5151515151515151,1.0,0.0,0.07142857142857142,0.0,0.125,0.8333333333333333,1.0
459116.0,1.0,1.0,0.5757575757575758,1.0,0.0,0.14285714285714285,0.0,0.5,0.8333333333333333,1.0
459117.0,1.0,1.0,0.6818181818181819,1.0,0.0,0.0,0.5,0.125,0.8333333333333333,1.0
459118.0,1.0,0.0,0.015151515151515152,0.0,0.625,0.22857142857142856,1.0,0.875,0.8333333333333333,1.0
459119.0,1.0,1.0,0.5303030303030303,1.0,0.5,0.5714285714285714,0.5,0.25,0.8333333333333333,1.0
459120.0,1.0,0.0,0.015151515151515152,0.0,0.625,0.3571428571428571,1.0,0.5,0.16666666666666666,1.0
459121.0,0.0,1.0,0.4545454545454546,1.0,0.0,0.21428571428571427,0.0,0.625,0.8333333333333333,1.0
